Map,Variant,Feature,Dialect Group,nPMI,Exclusivity,Representativeness
œ_leg,œ,œ_leg_œ,Guangfu,0.709,0.821,0.865
*ɲ_meat,j,*ɲ_meat_j,Guangfu,0.694,0.773,0.919
*ɲ_moon,j,*ɲ_moon_j,Guangfu,0.687,0.8,0.865
œ_bird_col,œ,œ_bird_col_œ,Guangfu,0.685,0.816,0.838
œ_long,œ,œ_long_œ,Guangfu,0.682,0.8,0.865
œ_to think,œ,œ_to think_œ,Guangfu,0.682,0.8,0.865
*ɲ_sun,j,*ɲ_sun_j,Guangfu,0.67,0.767,0.892
*ɲ_person,j,*ɲ_person_j,Guangfu,0.65,0.75,0.892
*ɲ_fish,j,*ɲ_fish_j,Guangfu,0.623,0.756,0.838
y_village,y,y_village_y,Guangfu,0.607,0.727,0.865
*ɲ_hot,j,*ɲ_hot_j,Guangfu,0.577,0.744,0.784
*ɲ_two,j,*ɲ_two_j,Guangfu,0.575,0.757,0.757
y_all,y,y_all_y,Guangfu,0.51,0.66,0.838
y_pig,y,y_pig_y,Guangfu,0.494,0.618,0.919
*dz_all,ʦʰ,*dz_all_ʦʰ,Guangfu,0.493,0.6,0.973
y_feather,y,y_feather_y,Guangfu,0.493,0.6,0.973
*ɲ_ear,j,*ɲ_ear_j,Guangfu,0.472,0.684,0.703
y_tree,y,y_tree_y,Guangfu,0.465,0.593,0.946
ɔ_to speak_col,ɔ,ɔ_to speak_col_ɔ,Guangfu,0.462,0.581,0.973
leg_m,0,leg_m_0,Guangfu,0.455,0.6,0.892
ui_to sleep,ɵy,ui_to sleep_ɵy,Guangfu,0.454,0.81,0.459
ui_water,ɵy,ui_water_ɵy,Guangfu,0.451,0.81,0.459
ɔ_horn,ɔ,ɔ_horn_ɔ,Guangfu,0.45,0.569,1
ɵ_spring,ɵ,ɵ_spring_ɵ,Guangfu,0.449,0.875,0.378
*d_to sit,ʦʰ,*d_to sit_ʦʰ,Guangfu,0.449,0.583,0.946
s_four,s,s_four_s,Guangfu,0.448,0.63,0.784
s_heart,s,s_heart_s,Guangfu,0.448,0.63,0.784
s_new,s,s_new_s,Guangfu,0.448,0.63,0.784
s_to die,s,s_to die_s,Guangfu,0.448,0.63,0.784
s_to think,s,s_to think_s,Guangfu,0.448,0.63,0.784
s_west,s,s_west_s,Guangfu,0.448,0.63,0.784
œ_double,œ,œ_double_œ,Guangfu,0.442,0.676,0.676
bird_col_m,0,bird_col_m_0,Guangfu,0.44,0.589,0.892
*ɲ_enter,j,*ɲ_enter_j,Guangfu,0.44,0.589,0.892
y_rain,y,y_rain_y,Guangfu,0.439,0.574,0.946
y_moon,y,y_moon_y,Guangfu,0.433,0.593,0.865
s_small_lit,s,s_small_lit_s,Guangfu,0.431,0.617,0.784
s_three,s,s_three_s,Guangfu,0.431,0.617,0.784
s_small_col,s,s_small_col_s,Guangfu,0.427,0.617,0.784
y_fish,y,y_fish_y,Guangfu,0.424,0.565,0.946
long_m,0,long_m_0,Guangfu,0.424,0.579,0.892
to think_m,0,to think_m_0,Guangfu,0.424,0.579,0.892
y_mouse/rat,y,y_mouse/rat_y,Guangfu,0.419,0.565,0.946
y_boat,y,y_boat_y,Guangfu,0.418,0.582,0.865
*d_head,tʰ,*d_head_tʰ,Guangfu,0.417,0.567,0.919
