Map,Variant,Feature,Dialect Group,PMI,nPMI,Exclusivity,Representativeness
*d_head,h,*d_head_h,3,3.893,0.946,0.857,1
*tʰ_soil/earth,h,*tʰ_soil/earth_h,3,3.893,0.946,0.857,1
*-t_knee,p,*-t_knee_p,3,4.115,0.94,1,0.833
*ɲ_meat,ŋg,*ɲ_meat_ŋg,3,4.115,0.94,1,0.833
*ɲ_sun,ŋg,*ɲ_sun_ŋg,3,4.115,0.94,1,0.833
*ɲ_hot,ŋg,*ɲ_hot_ŋg,3,3.852,0.88,0.833,0.833
*ɲ_moon,ŋg,*ɲ_moon_ŋg,3,3.852,0.88,0.833,0.833
night_m,i,night_m_i,3,4.102,0.875,1,0.667
*ɲ_person,ŋg,*ɲ_person_ŋg,3,4.115,0.875,1,0.667
*ɲ_to drink,ŋg,*ɲ_to drink_ŋg,3,4.115,0.875,1,0.667
*ɲ_ear,ŋg,*ɲ_ear_ŋg,3,3.63,0.829,0.714,0.833
*ɲ_fish,ŋg,*ɲ_fish_ŋg,3,3.63,0.829,0.714,0.833
*ɲ_two,ŋg,*ɲ_two_ŋg,3,3.63,0.829,0.714,0.833
*ɲ_enter,z,*ɲ_enter_z,3,3.794,0.807,0.8,0.667
j_feather,z,j_feather_z,3,3.794,0.807,0.8,0.667
j_leaf,z,j_leaf_z,3,3.78,0.807,0.8,0.667
j_night,z,j_night_z,3,3.78,0.807,0.8,0.667
j_one,z,j_one_z,3,3.78,0.807,0.8,0.667
j_rain,z,j_rain_z,3,3.794,0.807,0.8,0.667
j_round,z,j_round_z,3,3.78,0.807,0.8,0.667
j_smoke,z,j_smoke_z,3,3.794,0.807,0.8,0.667
j_to swim,z,j_to swim_z,3,3.78,0.807,0.8,0.667
ash_m,u,ash_m_u,3,4.115,0.804,1,0.5
ɐu_autumn,ɛu,ɐu_autumn_ɛu,3,4.102,0.804,1,0.5
ɐu_hand,iu,ɐu_hand_iu,3,4.115,0.804,1,0.5
ɐ_ten,i,ɐ_ten_i,3,4.115,0.804,1,0.5
ɐu_to swim,iu,ɐu_to swim_iu,3,4.102,0.804,1,0.5
ɐ_tomb,u,ɐ_tomb_u,3,4.087,0.803,1,0.5
*ŋ_cow,ŋg,*ŋ_cow_ŋg,3,3.437,0.785,0.625,0.833
*ŋ_eye,ŋg,*ŋ_eye_ŋg,3,3.437,0.785,0.625,0.833
*m_hair_body,mb,*m_hair_body_mb,3,3.437,0.785,0.625,0.833
*m_horse,mb,*m_horse_mb,3,3.437,0.785,0.625,0.833
*ŋ_I,ŋg,*ŋ_I_ŋg,3,3.437,0.785,0.625,0.833
*n_man,nd,*n_man_nd,3,3.437,0.785,0.625,0.833
*ŋ_to bite,ŋg,*ŋ_to bite_ŋg,3,3.437,0.785,0.625,0.833
*ŋ_tooth1,ŋg,*ŋ_tooth1_ŋg,3,3.437,0.785,0.625,0.833
many_m,u,many_m_u,3,3.531,0.751,0.667,0.667
*n_woman,nd,*n_woman_nd,3,3.267,0.746,0.556,0.833
bone_n,u,bone_n_u,3,3.7,0.723,0.75,0.5
ɐ_enter,i,ɐ_enter_i,3,3.7,0.723,0.75,0.5
full_m,u,full_m_u,3,3.7,0.723,0.75,0.5
ɵ_out,u,ɵ_out_u,3,3.687,0.723,0.75,0.5
boat_m,u,boat_m_u,3,4.115,0.722,1,0.333
*ŋ_five,ŋ̩ / m̩,*ŋ_five_ŋ̩ / m̩,3,4.115,0.722,1,0.333
to drink_m,i,to drink_m_i,3,4.115,0.722,1,0.333
*d_floor/ground,0,*d_floor/ground_0,3,4.087,0.721,1,0.333
i_leaf,a,i_leaf_a,3,4.087,0.721,1,0.333
one_m,i,one_m_i,3,4.102,0.721,1,0.333
round_m,u,round_m_u,3,4.102,0.721,1,0.333
*m_full,mb,*m_full_mb,3,3.115,0.711,0.5,0.833
*m_tail,mb,*m_tail_mb,3,3.115,0.711,0.5,0.833
*n_you,nd,*n_you_nd,3,3.115,0.711,0.5,0.833
